task_id,title,mandatory,required_if,due_relative_to,due_offset,owner_role,dependencies,reminder_offsets,citations,notes
agency_disclosure,Provide Agency Disclosure Form,true,all_transactions,FirstMeeting,0d,ListingAgent,,"-7d,-1d","https://www.mass.gov/doc/real-estate-board-agency-disclosure-form-english/download","Must be presented before entering into contract"
lead_paint_disclosure,Property Transfer Lead Paint Notification,true,property.year_built < 1978,Offer,-2d,Seller+Agent,,""-14d,-7d,-2d"","https://www.mass.gov/info-details/property-transfer-lead-paint-notification | 105 CMR 460.720","Federal EPA penalties up to $11k per error"
title5_septic,Schedule and Complete Title 5 Septic Inspection,true,"property.has_septic == true AND property.type != 'Condo'",Closing,-90d,Seller,,""-120d,-90d,-60d,-30d"","https://www.mass.gov/guides/buying-or-selling-property-with-a-septic-system | 310 CMR 15.000","Must be within 2 years before OR 6 months after transfer. Allow time for repairs if failed."
title5_repairs,Complete Title 5 Septic Repairs (if needed),false,title5_septic.status == failed,Closing,-60d,Seller,title5_septic,"-45d,-30d,-14d","310 CMR 15.000","Only if inspection fails. Repairs can take 2-6 weeks."
smoke_co_cert,Schedule Smoke & CO Detector Inspection,true,"property.type IN ['SFH','Multifamily'] AND property.city NOT IN ['Condo']",Closing,-21d,Seller,,""-30d,-21d,-14d"","https://www.mass.gov/doc/consumer-guide-to-smoke-detectors-when-selling-home/download | M.G.L. c.148 §26F, §26F½","Certificate valid 60 days. Schedule with local fire dept 2-3 weeks before closing."
smoke_co_compliance,Obtain Smoke & CO Certificate of Compliance,true,"property.type IN ['SFH','Multifamily'] AND property.city NOT IN ['Condo']",Closing,-14d,Seller,smoke_co_cert,"-10d,-7d,-3d","M.G.L. c.148 §26F, §26F½","Must have certificate at closing. Allow buffer for re-inspection if needed."
condo_6d_request,Request Condo 6(d) Certificate from HOA,true,property.type == 'Condo',Closing,-14d,SellerAttorney,,""-21d,-14d,-7d"","https://malegislature.gov/Laws/GeneralLaws/PartII/TitleI/Chapter183a/Section6 | M.G.L. c.183A §6(d)","Association has 10 days to respond. Must show no unpaid fees (clean certificate)."
condo_6d_resolve,Resolve Any Unpaid Condo Fees (if dirty 6d),false,condo_6d_request.status == dirty,Closing,-7d,Seller,condo_6d_request,"-5d,-3d,-1d","M.G.L. c.183A §6(d)","Only if 6(d) shows unpaid amounts. Must clear before closing."
municipal_lien,Request Municipal Lien Certificate,true,all_transactions,Closing,-21d,BuyerAttorney,,""-28d,-21d"","https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter60/Section23 | M.G.L. c.60 §23","Tax collector has 10 days to issue. Valid 150 days when recorded."
water_final_reading,Order Final Water Reading,true,"property.city IN ['Boston','Lynn','Lawrence','Haverhill'] AND property.type != 'Condo'",Closing,-28d,Seller,,""-35d,-28d,-21d"","https://www.bwsc.org/residential-customers/services/buying-or-selling-property","Boston requires ~2 weeks processing. Day-of-closing bill not sufficient."
