task_id,template,workflow,title,category,owner_role,mandatory,has_citations,has_duration,has_priority,has_vendor_type,has_notes,suggested_priority,research_notes,citation_url_1,citation_title_1,citation_url_2,citation_title_2,estimated_duration,vendor_type
property_info_mls,base,Deal Setup,Property Information Entered into MLS,deal_setup,agent,Yes,No,No,No,No,No,normal,,,,,,,
collect_property_docs,base,Deal Setup,Collect property documents from seller,deal_setup,agent,No,No,No,No,No,No,normal,,,,,,,
schedule_photography,base,Deal Setup,Schedule professional photography,deal_setup,agent,No,No,No,No,No,No,normal,,,,,,,
create_virtual_tour,base,Deal Setup,Create virtual tour/walkthrough,deal_setup,agent,No,No,No,No,No,No,normal,,,,,,,
order_prelim_title_search,base,Deal Setup,Order preliminary title search,title_work,agent,No,No,No,No,No,No,normal,,,,,,,
sign_listing_agreement,base,Deal Setup,Review and sign listing agreement,deal_setup,seller,Yes,No,No,No,No,No,normal,,,,,,,
gather_seller_financials,base,Deal Setup,Gather seller financial documents,deal_setup,agent,No,No,No,No,No,No,normal,,,,,,,
agency_disclosure,base,Deal Setup,Provide Agency Disclosure Form,compliance,agent,Yes,Yes,No,No,No,Yes,critical,,https://www.mass.gov/doc/real-estate-board-agency-disclosure-form-english/download,MA Mandatory Licensee-Consumer Relationship Disclosure,,,,
lead_paint_disclosure,base,Deal Setup,Property Transfer Lead Paint Notification,compliance,seller,Yes,Yes,No,No,No,Yes,critical,,https://www.mass.gov/info-details/property-transfer-lead-paint-notification,Property Transfer Lead Paint Notification | Mass.gov,https://www.mass.gov/doc/105-cmr-460-lead-poisoning-prevention-and-control/download,105 CMR 460.720 - Property Transfer Lead Notification,,
add_buyer_info,base,Party Onboarding,Add buyer information to system,party_onboarding,agent,No,No,No,No,No,No,normal,,,,,,,
add_seller_info,base,Party Onboarding,Add seller information to system,party_onboarding,agent,No,No,No,No,No,No,normal,,,,,,,
add_coop_agent,base,Party Onboarding,Add co-operating agent information,party_onboarding,agent,No,No,No,No,No,No,normal,,,,,,,
send_buyer_welcome,base,Party Onboarding,Send welcome packet to buyer,communication,agent,No,No,No,No,No,No,normal,,,,,,,
send_seller_welcome,base,Party Onboarding,Send welcome packet to seller,communication,agent,No,No,No,No,No,No,normal,,,,,,,
collect_preapproval,base,Party Onboarding,Collect buyer pre-approval letter,financing,buyer,Yes,No,No,No,No,No,normal,,,,,,,
buyer_initial_consultation,base,Party Onboarding,Schedule initial consultation with buyer,party_onboarding,agent,No,No,No,No,No,No,normal,,,,,,,
seller_initial_consultation,base,Party Onboarding,Schedule initial consultation with seller,party_onboarding,agent,No,No,No,No,No,No,normal,,,,,,,
collect_emd,base,Earnest Money Management,Collect earnest money deposit,earnest_money,agent,Yes,No,No,No,No,No,normal,,,,,,,
deposit_emd,base,Earnest Money Management,Deposit EMD into escrow account,earnest_money,agent,Yes,No,No,No,No,No,normal,,,,,,,
send_emd_receipt,base,Earnest Money Management,Send EMD receipt to all parties,earnest_money,agent,No,No,No,No,No,No,normal,,,,,,,
emd_ledger_entry,base,Earnest Money Management,Create escrow account ledger entry,earnest_money,agent,No,No,No,No,No,No,normal,,,,,,,
schedule_home_inspection,base,Inspection Period,Schedule home inspection,inspection,buyer,No,No,No,No,No,No,normal,,,,,,,
attend_inspection,base,Inspection Period,Attend home inspection,inspection,agent,No,No,No,No,No,No,normal,,,,,,,
review_inspection_report,base,Inspection Period,Review inspection report,inspection,buyer,No,No,No,No,No,No,normal,,,,,,,
submit_repair_request,base,Inspection Period,Submit repair request or waiver,inspection,agent,No,No,No,No,No,No,normal,,,,,,,
negotiate_inspection_items,base,Inspection Period,Negotiate inspection items,inspection,agent,No,No,No,No,No,No,normal,,,,,,,
finalize_inspection_agreement,base,Inspection Period,Finalize inspection agreement,inspection,agent,No,No,No,No,No,No,normal,,,,,,,
schedule_specialized_inspections,base,Inspection Period,Schedule specialized inspections,inspection,buyer,No,No,No,No,No,No,normal,,,,,,,
coordinate_repair_work,base,Inspection Period,Coordinate repair work,inspection,seller,No,No,No,No,No,No,normal,,,,,,,
schedule_reinspection,base,Inspection Period,Schedule re-inspection,inspection,buyer,No,No,No,No,No,No,normal,,,,,,,
home_inspection_schedule,base,Inspection Period,Coordinate Home Inspection Access,inspection,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
home_inspection_response,base,Inspection Period,Respond to Inspection Report Requests,inspection,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
draft_ps_agreement,base,Purchase and Sale Agreement,Draft purchase and sale agreement,ps_agreement,agent,No,No,No,No,No,No,normal,,,,,,,
attorney_review_ps,base,Purchase and Sale Agreement,Attorney review of P&S,ps_agreement,buyer_attorney,No,No,No,No,No,No,normal,,,,,,,
negotiate_ps_terms,base,Purchase and Sale Agreement,Negotiate P&S terms,ps_agreement,agent,No,No,No,No,No,No,normal,,,,,,,
execute_ps_agreement,base,Purchase and Sale Agreement,Execute purchase and sale agreement,ps_agreement,buyer,Yes,No,No,No,No,No,normal,,,,,,,
seller_signs_ps,base,Purchase and Sale Agreement,Seller signs P&S agreement,ps_agreement,seller,Yes,No,No,No,No,No,normal,,,,,,,
distribute_executed_ps,base,Purchase and Sale Agreement,Distribute fully executed P&S,ps_agreement,agent,No,No,No,No,No,No,normal,,,,,,,
update_transaction_timeline,base,Purchase and Sale Agreement,Update transaction timeline,ps_agreement,agent,No,No,No,No,No,No,normal,,,,,,,
